Entity,Year,Population,Age range,5 or under,5 to 14,15 to 24,25 to 64,65 or over
World,1978,1692375057,25 to 64,,,,,
World,1979,1733509721,25 to 64,,,,,
World,1980,1775672002,25 to 64,,,,,
World,1981,1817376124,25 to 64,,,,,
World,1982,1859566305,25 to 64,,,,,
World,1983,1902829701,25 to 64,,,,,
World,1984,1948103859,25 to 64,,,,,
World,1985,1995726730,25 to 64,,,,,
World,1986,2040680574,25 to 64,,,,,
World,1987,2088218713,25 to 64,,,,,
World,1988,2137794566,25 to 64,,,,,
World,1989,2189053626,25 to 64,,,,,
World,1990,2241876929,25 to 64,,,,,
World,1991,2291043586,25 to 64,,,,,
World,1992,2344094211,25 to 64,,,,,
World,1993,2399612160,25 to 64,,,,,
World,1994,2455596323,25 to 64,,,,,
World,1995,2510922575,25 to 64,,,,,
World,1996,2567803895,25 to 64,,,,,
World,1997,2622474740,25 to 64,,,,,
World,1998,2675942596,25 to 64,,,,,
World,1999,2729818018,25 to 64,,,,,
World,2000,2784534520,25 to 64,,,,,
World,2001,2833019603,25 to 64,,,,,
World,2002,2882958202,25 to 64,,,,,
World,2003,2934603660,25 to 64,,,,,
World,2004,2987983173,25 to 64,,,,,
World,2005,3043270549,25 to 64,,,,,
World,2006,3098263057,25 to 64,,,,,
World,2007,3155444947,25 to 64,,,,,
World,2008,3214499696,25 to 64,,,,,
World,2009,3275429519,25 to 64,,,,,
World,2010,3337877409,25 to 64,,,,,
World,2011,3398127991,25 to 64,,,,,
World,2012,3460738024,25 to 64,,,,,
World,2013,3523839991,25 to 64,,,,,
World,2014,3584722088,25 to 64,,,,,
World,2015,3641716971,25 to 64,,,,,
World,2016,3692884219,25 to 64,,,,,
World,2017,3740589020,25 to 64,,,,,
World,2018,3785709418,25 to 64,,,,,
World,2019,3829878667,25 to 64,,,,,
World,2020,3873960100,25 to 64,,,,,
World,1950,128709384,65 or over,,,,,
World,1951,131639069,65 or over,,,,,
World,1952,134212577,65 or over,,,,,
World,1953,136437147,65 or over,,,,,
World,1954,138307674,65 or over,,,,,
World,1955,139828170,65 or over,,,,,
World,1956,142668255,65 or over,,,,,
World,1957,145211929,65 or over,,,,,
World,1958,147451102,65 or over,,,,,
World,1959,149411887,65 or over,,,,,
World,1960,151153998,65 or over,,,,,
World,1961,155190393,65 or over,,,,,
World,1962,158839175,65 or over,,,,,
World,1963,162245155,65 or over,,,,,
World,1964,165581983,65 or over,,,,,
World,1965,168928265,65 or over,,,,,
World,1966,174346663,65 or over,,,,,
World,1967,179833836,65 or over,,,,,
World,1968,185352291,65 or over,,,,,
World,1969,190820357,65 or over,,,,,
World,1970,196214652,65 or over,,,,,
World,1971,202729758,65 or over,,,,,
World,1972,209039251,65 or over,,,,,
World,1973,215215759,65 or over,,,,,
World,1974,221368650,65 or over,,,,,
World,1975,227551736,65 or over,,,,,
World,1976,235044176,65 or over,,,,,
World,1977,242548475,65 or over,,,,,
World,1978,249857754,65 or over,,,,,
World,1979,256583455,65 or over,,,,,
World,1980,262532033,65 or over,,,,,
World,1981,268733287,65 or over,,,,,
World,1982,273943192,65 or over,,,,,
World,1983,278680983,65 or over,,,,,
World,1984,283646290,65 or over,,,,,
World,1985,289242765,65 or over,,,,,
World,1986,296404287,65 or over,,,,,
World,1987,303936421,65 or over,,,,,
World,1988,311791405,65 or over,,,,,
World,1989,319887532,65 or over,,,,,
World,1990,328210884,65 or over,,,,,
World,1991,337455200,65 or over,,,,,
World,1992,346975262,65 or over,,,,,
World,1993,356547113,65 or over,,,,,
World,1994,365825039,65 or over,,,,,
World,1995,374678791,65 or over,,,,,
World,1996,385085298,65 or over,,,,,
World,1997,394532754,65 or over,,,,,
World,1998,403488298,65 or over,,,,,
World,1999,412602216,65 or over,,,,,
World,2000,422209099,65 or over,,,,,
World,2001,432936051,65 or over,,,,,
World,2002,443988843,65 or over,,,,,
World,2003,455025511,65 or over,,,,,
World,2004,465401188,65 or over,,,,,
World,2005,474871560,65 or over,,,,,
World,2006,485469048,65 or over,,,,,
World,2007,495265363,65 or over,,,,,
World,2008,504874733,65 or over,,,,,
World,2009,515162252,65 or over,,,,,
World,2010,526688035,65 or over,,,,,
World,2011,540499529,65 or over,,,,,
World,2012,555132219,65 or over,,,,,
World,2013,570931741,65 or over,,,,,
World,2014,588313573,65 or over,,,,,
World,2015,607547625,65 or over,,,,,
World,2016,629708241,65 or over,,,,,
World,2017,653390506,65 or over,,,,,
World,2018,678066493,65 or over,,,,,
World,2019,702935013,65 or over,,,,,
World,2020,727606345,65 or over,,,,,
